"Compound Name" "CASNumber" "Number Passed" "Retention Time" "Measured Retention Time" "Product Mass" "QualifierMass"
"TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso3]" "" "162" "8.253104" "8.346400" " 927.7436" " 929.7501"
"C36 - 3.752" "" " 61" "3.752000" "3.800933" " 753.5295" " 754.5332"
"C40 - 1.857" "" "  2" "1.857000" NA " 209.1196" " 209.6212"
"C42 - 4.7169995" "" "162" "4.717000" "4.646966" " 798.5589" "1596.1040"
"LysoPC(14:0)" "" "  2" "1.748000" "1.760483" " 468.3089" " 469.3117"
"C45 - 0.385" "" "162" "0.385000" "0.375300" " 166.0868" " 182.1294"
"C46 - 7.487999" "" "  3" "7.487999" NA " 819.6500" " 839.6744"
"C49 - 5.544839" "" "162" "5.544839" "5.401767" " 817.5961" " 818.5991"
"PE(22:5(7Z,10Z,13Z,16Z,19Z)/dm18:1(9Z))" "" "156" "5.615001" "5.683783" " 776.5617" " 777.5636"
"C51 - 6.288867" "" " 78" "6.288867" "6.264400" " 666.5805" " 668.5832"
"TG(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))" "" "  3" "7.814000" "7.856966" " 937.7270" " 938.7299"
"PG(O-18:0/22:2(13Z,16Z))" "" "156" "7.410000" "7.508600" " 817.6317" " 819.6380"
"C59 - 3.705" "" " 17" "3.705000" "3.850700" " 852.5598" " 855.7056"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))" "" " 28" "3.774000" "3.858983" " 874.5368" " 876.5450"
"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))" "" " 84" "1.411000" "1.445283" " 570.3564" " 571.3601"
"C66 - 3.886" "" "109" "3.886000" "3.825817" " 850.5395" " 851.5432"
"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))" "" "149" "4.792000" "4.688433" " 790.5408" " 812.5226"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))" "" "  3" "4.027000" "4.149300" " 876.5526" " 877.5564"
"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))" "" " 56" "4.479000" "4.564017" " 818.5723" " 819.5755"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)" "" "118" "6.246000" "6.280983" " 691.5283" " 692.5311"
"C76 - 7.6298566" "" "105" "7.629857" "7.790616" " 921.7060" " 899.7325"
"C80 - 1.762" "" "  2" "1.762000" "1.801950" " 425.2695" " 405.2409"
"LysoPE(0:0/18:0)" "" "143" "1.872000" "1.884900" " 482.3261" " 483.3297"
"TG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]" "" "162" "7.770000" "7.807200" " 947.7128" " 949.7194"
"C84 - 3.5829997" "" "142" "3.583000" "3.610150" " 651.5368" " 652.5398"
"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))" "" "162" "1.400000" "1.362350" " 590.3234" " 591.3266"
"TG(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))" "" "159" "8.216124" "8.321517" " 953.7587" " 975.7431"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))" "" "160" "8.053249" "8.097517" " 925.7282" " 927.7324"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]" "" "  7" "7.582250" "7.633017" " 947.7131" " 949.7188"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))" "" "158" "7.577000" "7.608133" " 945.6976" " 947.7076"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:0/20:4(8Z,11Z,14Z,17Z))" "" "156" "9.167000" "9.267083" " 957.7914" " 959.7970"
"LysoPC(P-16:0)" "" "155" "1.549000" "1.669233" " 480.3478" " 481.3499"
"TG(20:4(5Z,8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))" "" "121" "7.926000" "7.890150" " 975.7430" " 977.7545"
"C99 - 5.256438" "" "161" "5.256438" "5.327116" " 772.5277" " 789.5551"
"C102 - 4.0188665" "" "  3" "4.018866" NA " 828.5576" NA
"TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))" "" " 65" "8.448000" "8.578633" " 941.7583" " 943.7641"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))" "" " 81" "5.141999" "5.111450" " 844.5861" " 845.5876"
"PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))" "" "  3" "4.307000" NA " 842.5695" " 844.5740"
"C114 - 1.301" "" "146" "1.301000" "1.329167" " 303.6480" " 304.1494"
"9Z-Heneicosene" "" "162" "1.630000" "1.719000" " 312.3631" " 313.3660"
"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(13Z))" "" "131" "8.942000" "8.918716" " 983.8039" " 985.8162"
"C123 - 5.198" "" " 26" "5.198000" "5.310517" " 762.5448" " 763.5478"
"DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)" "" " 48" "6.508000" "6.571317" " 719.5599" " 721.5672"
"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol 2-glucoside" "402593-52-6" "112" "2.169000" "2.158617" " 367.1952" " 368.1982"
"TG(18:2(9Z,12Z)/20:2n6/20:2n6)" "" "105" "8.819000" "8.910417" " 943.7727" " 945.7829"
"TG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/24:1(15Z))" "" "  6" "9.461000" NA "1011.8364" "1013.8418"
"C136 - 4.2709994" "" "  9" "4.270999" "4.348367" "1192.8150" "1192.3125"
"C137 - 4.908" "" "119" "4.908000" "4.821150" " 842.5677" " 843.5708"
"PGP(16:1(9Z)/20:3(8Z,11Z,14Z))" "" " 29" "3.853000" "3.917050" " 868.5089" " 869.5114"
"DG(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z)/0:0)" "" " 23" "5.679000" "5.733550" " 658.5419" " 660.5415"
"C150 - 4.583625" "" "157" "4.583625" "4.754800" " 830.5604" " 831.5615"
"C155 - 1.3790001" "" "101" "1.379000" "1.395517" " 282.6241" " 564.2448"
"TG(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))" "" "  5" "7.503000" "7.475417" " 971.7115" " 973.7186"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso3]" "" " 79" "8.033000" "8.022866" " 977.7573" " 978.7602"
"C161 - 4.713" "" "  3" "4.713000" NA "1639.1552" "1640.1542"
"PC(22:4(7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z))" "" " 47" "4.834000" "4.837733" " 858.6002" " 859.6035"
"Azaspiracid" "214899-21-5" " 64" "4.145000" "4.091233" " 421.7546" " 422.7577"
"C167 - 5.558" "" " 14" "5.558000" NA " 806.5715" " 807.5742"
"TG(20:2n6/18:0/22:5(4Z,7Z,10Z,13Z,16Z))" "" " 22" "8.889000" "8.902133" " 969.7877" " 971.7970"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/20:5(5Z,8Z,11Z,14Z,17Z))" "" " 25" "7.815499" "7.707667" " 907.6815" " 886.6986"
"C175 - 3.3099997" "" " 74" "3.310000" "3.270083" " 923.4979" " 462.2522"
"PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z))" "" "162" "4.247000" "4.389833" " 830.5711" " 831.5743"
"PC(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))" "" "158" "4.581000" "4.555733" " 854.5677" " 855.5705"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))" "" " 11" "4.321000" "4.414717" " 415.7549" " 416.7575"
"TG(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]" "" "120" "8.011000" "8.080916" "1001.7567" "1002.7597"
"C188 - 6.4130006" "" " 77" "6.413001" "6.264400" " 666.5810" " 667.5830"
"C191 - 4.863" "" " 82" "4.863000" "4.912384" " 423.7696" " 848.5415"
"C194 - 3.106" "" "  6" "3.106000" "3.203717" " 844.5518" " 845.5550"
"C197 - 4.022" "" " 95" "4.022000" "4.082933" " 408.7473" " 816.4963"
"PI-Cer(t18:0/16:0(2OH))" "" " 97" "4.521000" "4.423017" " 814.5450" " 836.5239"
"C203 - 4.679" "" " 71" "4.679000" "4.705033" "1244.8486" "1244.3458"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))" "" " 27" "8.130000" "8.080916" "1003.7726" "1005.7805"
"C212 - 3.003" "" "  6" "3.003000" "3.079300" " 623.5074" " 624.5103"
"C222 - 1.38" "" "  2" "1.380000" "1.395517" "1069.6285" "1091.6049"
"C224 - 3.75" "" " 21" "3.750000" "3.767750" " 653.5509" " 654.5540"
"C229 - 1.3319999" "" "162" "1.332000" "1.412117" "1061.6603" "1083.6450"
"TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))" "" "  6" "7.535000" "7.608133" " 997.7252" " 999.7375"
"LysoPC(16:0)" "" "  2" "2.196000" "2.191800" " 496.3405" " 497.3452"
"PA(O-20:0/13:0)" "" " 21" "3.087000" "3.137367" " 649.5188" " 650.5218"
"C240 - 4.5639997" "" "  6" "4.564000" "4.431300" " 810.5303" " 832.5126"
"C246 - 1.396" "" "161" "1.396000" "1.362350" " 303.6473" " 304.1492"
"TG(18:2(9Z,12Z)/20:2n6/18:2(9Z,12Z))" "" "114" "8.620000" "8.711350" " 943.7656" " 944.7687"
"Lactosylceramide (d18:1/24:1(15Z))" "4682-48-8" "162" "6.046000" "6.173150" " 994.7174" " 972.7375"
"Adrenoyl ethanolamide" "150314-35-5" "145" "1.631723" "1.694117" " 376.3195" " 377.3222"
"C254 - 4.688" "" " 42" "4.688000" "4.804567" "1661.1390" "1662.1418"
"C256 - 5.267" "" " 28" "5.267000" "5.310517" " 762.5459" " 763.5492"
"C261 - 7.612" "" "  4" "7.612000" "7.682783" " 974.7290" " 975.7314"
"C263 - 4.039" "" "  2" "4.039000" "4.124417" " 894.6011" " 895.6037"
"PGP(18:0/22:4(7Z,10Z,13Z,16Z))" "" "162" "5.249000" "5.376883" " 924.5680" " 925.5706"
"Spiramycin 3" "24916-52-7" "  2" "4.057000" "4.116116" " 916.5727" " 917.5828"
"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))" "" "162" "3.286539" "3.261783" " 907.5339" " 908.5366"
"C275 - 4.4154997" "" " 42" "4.415500" "4.315183" " 789.5288" " 811.5133"
"C287 - 4.015" "" " 35" "4.015000" "4.165883" " 872.5263" " 851.5382"
